x,y,w,h,aspect_ratio,ground_truth,predicted
147,75,49,49,1.0,right,center
54,67,61,61,1.0,left,left
179,6,52,52,1.0,right,right
56,67,60,60,1.0,left,left
184,8,47,47,1.0,right,right
149,74,49,49,1.0,right,center
150,79,47,47,1.0,right,center
56,70,59,59,1.0,left,left
150,79,47,47,1.0,right,center
55,70,60,60,1.0,left,left
183,14,46,46,1.0,right,right
148,78,49,49,1.0,right,center
55,69,60,60,1.0,left,center
182,11,48,48,1.0,right,right
149,78,49,49,1.0,right,center
56,69,59,59,1.0,left,center
182,13,47,47,1.0,right,right
147,78,48,48,1.0,right,center
53,69,59,59,1.0,left,left
147,79,47,47,1.0,right,center
55,70,58,58,1.0,left,left
56,69,59,59,1.0,left,left
148,78,49,49,1.0,right,center
183,13,47,47,1.0,right,right
126,203,49,49,1.0,center,right
53,70,59,59,1.0,left,left
145,77,49,49,1.0,right,center
144,74,50,50,1.0,right,center
52,66,60,60,1.0,left,left
55,68,60,60,1.0,left,left
146,76,50,50,1.0,right,right
184,11,46,46,1.0,right,right
150,79,47,47,1.0,right,center
55,69,59,59,1.0,left,left
131,214,36,36,1.0,center,center
148,79,49,49,1.0,right,center
55,70,60,60,1.0,left,left
54,70,59,59,1.0,left,left
145,78,50,50,1.0,right,center
53,70,59,59,1.0,left,left
147,79,48,48,1.0,right,center
129,212,40,40,1.0,center,center
59,69,61,61,1.0,center,left
152,79,48,48,1.0,right,center
139,221,29,29,1.0,center,left
59,71,59,59,1.0,left,left
153,81,47,47,1.0,right,center
187,13,47,47,1.0,right,right
61,71,56,56,1.0,left,left
136,211,41,41,1.0,center,center
152,75,52,52,1.0,right,center
53,72,55,55,1.0,left,center
143,77,52,52,1.0,right,center
56,73,56,56,1.0,left,left
147,77,52,52,1.0,right,center
186,10,51,51,1.0,right,center
62,73,55,55,1.0,center,left
153,77,52,52,1.0,right,center
59,70,56,56,1.0,left,center
150,73,53,53,1.0,right,center
132,210,41,41,1.0,center,center
62,71,57,57,1.0,center,center
155,75,53,53,1.0,right,center
139,215,33,33,1.0,center,right
56,68,57,57,1.0,left,center
149,72,52,52,1.0,right,center
52,72,56,56,1.0,left,center
145,75,53,53,1.0,right,center
51,72,56,56,1.0,left,center
142,74,54,54,1.0,right,center
